"start","end","text","speaker"
"154200","176760"," Or the apparent meanings of the scriptural texts are accepted, and the rational proofs are rejected, which is invalid because we can only know the validity of the scriptural texts through rational proofs that establish the existence of the Creator, His attributes, and the veracity of the miracles that prove the truthfulness of the Prophet Muhammad alayhi salatu wa salam.","Jake Brancatella"
"180150","185730"," So basically Arazi there is saying that reason is over-revelation,","Jake Brancatella"
"185910","190650"," that if reason, and we'll see his fake aqli, or fake rational principles","Jake Brancatella"
"190650","192970"," that they believe in, the Ash'aris and Maturidis,","Jake Brancatella"
"193450","197950"," that they use to then justify their ta'wilat,","Jake Brancatella"
"198010","202590"," or making ridiculous interpretations that are not consistent with the text,","Jake Brancatella"
"202650","207170"," they have to do that because the so-called rational proofs that they rely on","Jake Brancatella"
"207170","209110"," are more important than scripture.","Jake Brancatella"
"209690","225090"," Attaf Tizani says, It is obligatory that these texts are speculative and transmitted, contrary to definitive rational proofs, meaning the Qur'an is actually a speculative text.","Jake Brancatella"
"225910","230750"," Therefore, it is certain that they are not to be taken on their apparent meaning.","Jake Brancatella"
"231330","237650"," Their meanings should either be consigned to Allah, or interpreted in a way that aligns with rational evidence.","Jake Brancatella"
"238270","255510"," If it is argued that if the true religion denies spatial existence and direction, then why do the scriptures and prophetic traditions imply the existence of such attributes in numerous places without explicitly denying or explaining their impossibility?","Jake Brancatella"
"255589","270410"," In other words, if Allah subhanahu wa ta'ala doesn't have a direction of aboveness or any type of spatial existence in that way, then why do the scriptures of the Qur'an and Sunnah seem to imply this, and why is it never explicitly denied?","Jake Brancatella"
"270830","288130"," He responds, This should be explicitly denied, especially as the scriptures repeatedly affirm the existence of the Creator, His oneness, His knowledge, His power, and the reality of the resurrection, and the gathering of bodies in several places with utmost emphasis.","Jake Brancatella"
"288130","305030"," This issue also deserves utmost emphasis and clarification because rational people's innate nature, regardless of their religions and views, inclines toward looking upwards when praying and raising their hands toward the sky.","Jake Brancatella"
"305470","308150"," The response is that since the denial of direction","Jake Brancatella"
"308150","310970"," is beyond the comprehension of the general public,","Jake Brancatella"
"311350","314730"," who almost certainly reject what is not within a direction,","Jake Brancatella"
"314730","317970"," it was more appropriate in their addresses,","Jake Brancatella"
"318610","320990"," and more conducive to their well-being,","Jake Brancatella"
"321210","323890"," and more suitable for inviting them to the truth,","Jake Brancatella"
"324310","328730"," to use expressions that appear to imply anthropomorphism,","Jake Brancatella"
"329710","333190"," meaning that the dhahr of the text of the Qur'an and Sunnah","Jake Brancatella"
"333190","338870"," is actually tashbih and tajseem, according to Ahtaf Tazani.","Jake Brancatella"
"338990","340990"," This is not your neighbor from down the street.","Jake Brancatella"
"341290","348890"," And he says the reason why this was done is because the general public are too stupid to comprehend and get it.","Jake Brancatella"
"349150","353870"," They do not believe in anything that is not in a jihah, or in a direction.","Jake Brancatella"
"356030","359810"," Okay, what about the mutakallim's first obligation?","Jake Brancatella"
"360670","376530"," The first obligation upon a rational adult, this is from al-Ju'ayni, upon reaching the age of maturity or puberty, according to the sharia, is to engage in correct contemplation that leads to knowledge of the world's origination.","Jake Brancatella"
"377530","387270"," And if you don't do that, many of the so-called mutakallimim of the Ash'aris and Maturidis actually explicitly say that your faith is not valid.","Jake Brancatella"
"388330","392190"," An-Nawawi, who Daniel loves to quote, responds to this and says,","Jake Brancatella"
"392530","394870"," the prophet's saying in another narration,","Jake Brancatella"
"395370","397370"," I have been commanded to fight the people","Jake Brancatella"
"397370","400130"," until they testify that there is no god but Allah","Jake Brancatella"
"400130","402490"," and they believe in me and what I have brought,","Jake Brancatella"
"402830","407730"," provides clear evidence supporting the view of the majority of the Salaf","Jake Brancatella"
"407730","412030"," and later scholars that if a person firmly believes in Islam","Jake Brancatella"
"412030","414370"," without any doubt, that is sufficient.","Jake Brancatella"
"414690","417190"," And he is considered a believer among the monotheists.","Jake Brancatella"
"417550","423470"," He is not obliged to learn the mutakallimim's proofs and to know Allah through them.","Jake Brancatella"
"423470","436570"," This contradicts those who insist, as we just saw from al-Juwaini, that it is obligatory and a condition for being considered among the people of the Qibla, claiming that one cannot be deemed a Muslim without it.","Jake Brancatella"
"437010","444330"," This view is held by many Martezalites and some of our mutakallimim, but it is evidently incorrect.","Jake Brancatella"
"444730","451610"," Now just because An-Nawawi disagrees with it, doesn't mean that this is not a foundational position of the Ash'aris and Maturidis.","Jake Brancatella"
"451610","459830"," It is, and that would deem the majority of the ummah to not actually be upon Islam and be true believers.","Jake Brancatella"
"460190","463430"," So in actual fact, it is the Ash'aris and Maturidis","Jake Brancatella"
"463430","467190"," based upon their own principles who are the biggest tech theories","Jake Brancatella"
"467190","471030"," because the common person, the common Muslim,","Jake Brancatella"
"471290","477210"," who is a farmer in Afghanistan or Indonesia or some other place,","Jake Brancatella"
"477210","481230"," these people are not going through the complicated proofs,","Jake Brancatella"
"482090","484510"," so-called rational proofs of the mutakallimim,","Jake Brancatella"
"484670","487170"," and if they don't do that, they're still Muslims,","Jake Brancatella"
"487410","489910"," as opposed to what the Ash'aris and Maturidis say.","Jake Brancatella"
"492170","506910"," Saifuddin al-Ahmadi says, in describing what iman is, he says, thus the invalidity of the Hashawiya's assertion is established that iman is belief in the heart, verbal affirmation, and action with the limbs.","Jake Brancatella"
"507390","526530"," He attributes this view to a group called the Hashawiya, which is actually an insult, but we are going to see who the people are who believe that iman is belief in the heart, verbal affirmation, and action with limbs, rather than just merely tasdiq, or the affirmation of the heart.","Jake Brancatella"
"527170","539530"," Al-Juwaini says, section on the meaning of iman, know that our purpose in this section requires us first to mention the essence of iman, which is a matter of differing opinions among Islamic schools.","Jake Brancatella"
"539990","551350"," The Khawarij believed that iman is obedience, and many of the Muqtazilites leaned towards this view, though they differed on whether supererogatory acts could be considered part of iman.","Jake Brancatella"
"551670","562350"," The Hadith scholars, meaning Ahl al-Hadith, pay attention Dan, maintained that iman is knowledge in the heart, acknowledgment by the tongue, and action by the limbs.","Jake Brancatella"
"563010","572710"," Well, Juwaini says that the position of the scholars of Hadith is exactly what al-Amidi calls the position of the Hashawiya.","Jake Brancatella"
"574880","582900"," Okay, he continues and says, some early scholars held that iman is simply the heart's recognition and acknowledgment of it.","Jake Brancatella"
"583240","595680"," Our accepted view, this is the teacher of al-Ghazali, our accepted view, meaning the Ash'ari view, is that the essence of iman is the affirmation of Allah, and thus the believer in Allah is the one who affirms it.","Jake Brancatella"
"595740","599560"," So it's completely opposed to the Salaf and the position of Ahl al-Hadith.","Jake Brancatella"
"600540","614760"," Imam Ibn Abdulbar says, the scholars of jurisprudence, the scholars of fiqh and Hadith, unanimously agreed that iman is speech and action, and that there is no action without intention.","Jake Brancatella"
"614760","621760"," According to them, iman increases with obedience and decreases with disobedience.","Jake Brancatella"
"623460","634820"," Al-Kawthari says, and this is him actually mocking Imam al-Bukhari, this is what the Ash'ari and Maturidi scholars are known for, they actually mock the scholars of Hadith.","Jake Brancatella"
"635220","652420"," He says, these righteous ones, the Salaf, by holding that belief necessarily aligns with the Mu'tazilites, or the Khawarij, if they consider deviation from their belief to be innovation and misguidance, this is because neglecting any action which is a pillar of iman constitutes a deficiency in iman.","Jake Brancatella"
"652720","665700"," So whoever neglects an action falls out of iman, either entering into disbelief, as the Khawarij say, or not entering into it, but being in a position between disbelief and iman, as is the view of the Mu'tazilites.","Jake Brancatella"
"665820","671100"," They, the Salaf, are among the people who most strongly disassociate from these two groups.","Jake Brancatella"
"671440","681560"," If they also disassociate from what Abu Hanifa and his companions and the other imams of this matter adhere to, their stance remains incoherent and incomprehensible.","Jake Brancatella"
"681900","691120"," He continues, however, if they considered actions only as part of the perfection of iman, there would be no reason for such contention and mutual renunciation.","Jake Brancatella"
"691600","703320"," But their extreme rigidity indicates that they consider actions not just part of the perfection of iman, but an essential pillar of it, leading to the consequences you see.","Jake Brancatella"
"703960","724300"," Strangely, listen to this, strangely, some consider one of their leaders in hadith to be saying proudly, quote, I did not include in my book anyone who does not consider iman to be composed of speech and action, which increases and decreases, despite including extremists among the Khawarij and others.","Jake Brancatella"
"724520","727880"," This is directly referring to Imam al-Bukhari.","Jake Brancatella"
"727880","737680"," He is mocking Imam al-Bukhari for saying that I did not include anyone within my book who did not accept the correct understanding and definition of iman.","Jake Brancatella"
"739440","755400"," Okay, Imam al-Bukhari says here, and it's quoted by Ibn Hajar, I met more than a thousand scholars across various regions, and I did not see anyone differing on the fact that iman consists of speech and action and that it increases and decreases.","Jake Brancatella"
"755640","756760"," So this is the context.","Jake Brancatella"
"756760","766440"," Now, another one of Dan's favorite scholars, As-Subqi, says this, they are a group who strayed from the right path, and their vision is blinded.","Jake Brancatella"
"766780","773180"," They interpret the verses of the attributes according to their apparent meaning and believe that this is what is intended.","Jake Brancatella"
"773540","785480"," He's referring to the Hashawiya, who he claims are those who interpret the Quran and Sunnah based upon their apparent meanings, which is what Ahl al-Hadith and the Hanabilah, the Atharis, do.","Jake Brancatella"
"786400","801120"," Imam Ibn Abd al-Bahr says on Allah's attributes, they, or the Ahl al-Sunnah, are unanimous in affirming that all the attributes mentioned in the Quran and Sunnah, believing in them and understanding them literally, not metaphorically.","Jake Brancatella"
"801460","807800"," However, they do not assign any specific modality to these attributes or limit them to a specific description.","Jake Brancatella"
"808140","818460"," As for the people of innovation, the Jahmiya, the Mu'tazila, in all their forms, and the Khawarij, they all deny these attributes and do not accept any of them literally.","Jake Brancatella"
"818820","834100"," So you have on the one hand, Imam Ibn Abd al-Bahr, saying it's the consensus of the Ummah, we're sorry, the consensus of the Ahl al-Sunnah, to believe in the Quran and Sunnah based upon their apparent meaning, and As-Subqi says that this is the position of the Hashawiya.","Jake Brancatella"
"835080","847740"," Okay, Mullah Ali al-Qari says, In summary, both the Salaf and the Khalaf make ta'weel, as they unanimously agree to move away from the apparent meaning of the text.","Jake Brancatella"
"848040","852640"," However, the interpretation of the Salaf is general, as they consign the true meaning to Allah.","Jake Brancatella"
"853020","860260"," In contrast, the interpretation of the Khalaf is detailed due to the necessity brought about by the proliferation of innovators.","Jake Brancatella"
"861130","869820"," Al-Bajuri says, By tafweed, what is meant is to divert the wording from its apparent meaning, without attempting to specify the intended meaning.","Jake Brancatella"
"870280","887940"," Imam As-Subqi, Dan's favorite scholar, said, The Salaf and the Khalaf have unanimously agreed to make ta'weel of the ambiguous verses in a general sense, by diverting the wording from its apparent meaning, which is impossible for Allah, due to the conclusive evidence that He is unlike created beings.","Jake Brancatella"
"887940","906860"," So on the one hand, the Ash'aris in Mataridi say, No, the actual ijma' of the ummah is that we have to negate the apparent meaning of these texts, and people like Imam Ibn Abd al-Bar are saying the exact opposite, that this is the unanimous position of what the Salaf affirmed.","Jake Brancatella"
"907520","910640"," What about the Ash'ari position on Allah's actions?","Jake Brancatella"
"911080","932600"," Ibn Taymiyyah says, and describes it as, and I quote, According to him, al-Ash'ari, and those who deny that volitional actions can be attributed to Allah's essence, the meaning is that he creates certain states of phenomena in some of his creations, and calls them dissent, just as he said that he creates in the throne a meaning which he calls istiwa.","Jake Brancatella"
"932900","938960"," For the Ash'ari, this means drawing the throne closer to himself without any action occurring within him.","Jake Brancatella"
"939340","956180"," He considered Allah's inherent actions, like dissent and istiwa, to be like his transitive actions, such as creation, beneficence, all of which, according to him, are effects that are separate from him, meaning that Allah doesn't have any actions within his essence.","Jake Brancatella"
"956640","962880"," All of his quote-unquote actions of judging, creating, and so on, are actually things that are makhluq and within creation.","Jake Brancatella"
"964960","973480"," Imam al-Bukhari on Allah's actions says, The jahmiyyah said that creation is the same thing as the created thing.","Jake Brancatella"
"973840","977520"," But the scholars said that creating is an action of Allah.","Jake Brancatella"
"977920","983820"," So the view that Imam al-Bukhari ascribes to the jahmiyyah is actually the view of the Ash'aris.","Jake Brancatella"
"985040","1003480"," Al-Jurjani on the Qur'an being created said, Know that what the ma'tazala say about the speech of Allah, namely, that it consists of created sounds and letters indicating intended meanings and that these are occurrences existing apart from the essence, is something we agree with.","Jake Brancatella"
"1003740","1008340"," There is no dispute between us, meaning the Ash'aris, and them on this matter.","Jake Brancatella"
"1008600","1015420"," However, what we assert and affirm as internal speech, which is distinct from other attributes, is something they deny.","Jake Brancatella"
"1015820","1021060"," Even if they were to acknowledge it, they would not deny its eternal nature, which we claim for his speech.","Jake Brancatella"
"1021060","1027740"," Thus, the point of contention between us and them lies in the denial or affirmation of this internal meaning.","Jake Brancatella"
"1028099","1034920"," Meaning, basically, the Ash'aris and Ma'taridis also believe that the Arabic Qur'an is makhluq.","Jake Brancatella"
"1035140","1035920"," How much time do I have left?","Jake Brancatella"
"1041910","1042450"," Oh, okay.","Jake Brancatella"
"1042530","1045510"," Let me just finish this slide then.","Jake Brancatella"
"1046670","1048310"," I just want to hear a quote here.","Jake Brancatella"
"1048430","1050650"," Al-Ghazali criticizing Imam Ahmed.","Jake Brancatella"
"1051030","1061450"," He says that Ahmed ibn Hanbal, may Allah be pleased with him, only interpreted three hadiths because the impossibility of their literal meaning became apparent to him only to this extent.","Jake Brancatella"
"1061770","1064450"," For he was not deeply engaged in rational inquiry.","Jake Brancatella"
"1064830","1073910"," Had he delved deeply, it would have also become apparent to him regarding the attribute of aboveness and other aspects that he did not interpret.","Jake Brancatella"
"1074110","1083670"," So even Al-Ghazali, the Ash'ari scholar, is saying that Imam Ahmed did not interpret anything related to the Qur'an and Sunnah except three hadiths.","Jake Brancatella"
"1083730","1085490"," I can respond to those things, but it doesn't matter.","Jake Brancatella"
"1085730","1088370"," He affirmed everything on its apparent meaning.","Jake Brancatella"
"1088790","1095450"," And according to the Ash'aris, this is a curse of Allah upon the so-called Hashawiya.","Jake Brancatella"
"1095590","1097550"," Anyway, I'll get to other points later on.","Jake Brancatella"
"1097610","1098310"," Thank you very much.","Jake Brancatella"
"1099150","1099670"," All right.","Host"
"1099690","1101670"," Now to you, Brother Daniel, for your opening statement.","Host"
"1148180","1151840"," Bismillah, alhamdulillah, wa salatu wa salam ala rasulillah.","Daniel Haqiqatjou"
"1152960","1158840"," Today, many Muslims call themselves Salafi, but Salafism is not a monolith.","Daniel Haqiqatjou"
"1159000","1164900"," It draws on figures like Ahmed ibn Hanbal, ibn Taymiyyah, and ibn Abdul-Wahhab.","Daniel Haqiqatjou"
"1165240","1167080"," Yet these influences are not equal.","Daniel Haqiqatjou"
"1167660","1172600"," Those who primarily follow ibn Hanbal or ibn Taymiyyah are not, by definition, Wahhabis.","Daniel Haqiqatjou"
"1173220","1176020"," Wahhabism begins where ibn Abdul-Wahhab begins.","Daniel Haqiqatjou"
"1176020","1183840"," His followers inherit an ultra-sectarian theology fixated on takfir over issues of aqidah and alleged shirk.","Daniel Haqiqatjou"
"1184640","1187360"," Unfortunately, Jake fits this pattern exactly.","Daniel Haqiqatjou"
"1187720","1190160"," He's a textbook Wahhabi takfiri.","Daniel Haqiqatjou"
"1191000","1195940"," Contemporary Wahhabis insist that aqidah is the most important part of Islam.","Daniel Haqiqatjou"
"1196800","1202500"," Yet they defend this creed by attacking the overwhelming majority of Sunni scholarship.","Daniel Haqiqatjou"
"1202500","1211800"," On this basis, Jake declares the Ash'ari and Maturidi schools deviant or outright kafir and excludes them from Ahlus Sunnah.","Daniel Haqiqatjou"
"1212360","1215560"," I, on the other hand, categorically reject this.","Daniel Haqiqatjou"
"1216560","1219200"," Not because I'm Ash'ari or Maturidi myself.","Daniel Haqiqatjou"
"1219380","1224560"," In fact, in aqidah, I follow the Athari or Hanbali school because I believe it's the closest to the truth.","Daniel Haqiqatjou"
"1225020","1232060"," But Atharis, Ash'aris, and Maturidis are all human scholars, and humans can make errors, including in theology.","Daniel Haqiqatjou"
"1232060","1248600"," Such errors may be forgiven by Allah's permission under al-udhur, either al-udhur bil-ta'wil or al-udhur bil-jahl, meaning the excuse of interpretation or the excuse of ignorance.","Daniel Haqiqatjou"
"1249000","1266900"," Even if the error reaches the level of a bid'ah or even if it reaches the level of kufr, forgiveness remains possible so long as these scholars are overall committed to sound ijtihad rooted in the Quran, hadith, and the Arabic language, and don't violate the core foundations of iman.","Daniel Haqiqatjou"
"1267560","1275320"," Muslims, therefore, may follow Athari, Ash'ari, and Maturidi scholars except where clear proof establishes error.","Daniel Haqiqatjou"
"1275880","1288580"," Ironically, while Wahhabis obsess over kicking Ash'aris and Maturidis outside of Ahlus Sunnah, their own methodology is full of significant errors that make them more akin to the Khawarij rather than orthodox Sunnis.","Daniel Haqiqatjou"
"1289560","1291660"," So the first Wahhabi error.","Daniel Haqiqatjou"
"1291760","1293180"," I'm going to give you five errors.","Daniel Haqiqatjou"
"1293400","1294260"," This is the first one.","Daniel Haqiqatjou"
"1294360","1297740"," Rejection or minimization of the concept of jama'ah.","Daniel Haqiqatjou"
"1298300","1305440"," Insha'Allah, Wahhabis claim that authentic Islam is grounded in the Quran, hadith, and the views of the Salaf.","Daniel Haqiqatjou"
"1305440","1311440"," What's missing is any serious regard for the jama'ah, the broad body of the Muslim community.","Daniel Haqiqatjou"
"1312120","1314460"," Sunnism was never just about Ahlus Sunnah.","Daniel Haqiqatjou"
"1314980","1317240"," It's Ahlus Sunnah wal jama'ah.","Daniel Haqiqatjou"
"1317600","1319120"," The jama'ah isn't optional.","Daniel Haqiqatjou"
"1319540","1330340"," It means Muslims are obligated to preserve religious and political unity, to remain one ummah, and to resist splintering into warring theological sects.","Daniel Haqiqatjou"
"1330340","1334780"," This isn't a modern compromise or liberal tolerance.","Daniel Haqiqatjou"
"1335100","1339360"," It's commanded directly by Allah and reinforced in numerous hadith.","Daniel Haqiqatjou"
"1340000","1345500"," Allah says to hold fast to Allah's rope altogether and do not split into factions.","Daniel Haqiqatjou"
"1346200","1356420"," وَاعْتَصِمُوا بِحَبْلِ اللَّهِ جَمِيعًۭا وَلَا تَفَرَّقُوا۟ He also says do not be like those who, after they have been given clear revelation, split into factions and fall into disputes.","Daniel Haqiqatjou"
"1356420","1359480"," A terrible punishment awaits such people.","Daniel Haqiqatjou"
"1359620","1360520"," This is a dire warning.","Daniel Haqiqatjou"
"1361120","1373200"," In Sahih Muslim, the Prophet ﷺ says, Verily, Allah likes three things for you and He disapproves three things for you, and among them is that you hold fast to the rope of Allah and not be scattered.","Daniel Haqiqatjou"
"1374180","1386040"," Contemporary Wahhabis argue that Muslim unity can only be achieved by forcing everyone to conform to one narrow interpretation of Islam, even if it's held by a tiny fringe.","Daniel Haqiqatjou"
"1386680","1391760"," On this view, the overwhelming majority of Muslims must be condemned, takfired, and even fought.","Daniel Haqiqatjou"
"1392300","1393140"," That's not Sunnism.","Daniel Haqiqatjou"
"1393540","1405660"," That's the historical position of the Khawarij and the Shi'a and the Mu'tazila, and it was revived in the 18th century by Ibn Abdul Wahhab, who takfired most of the Muslim world and declared jihad against it.","Daniel Haqiqatjou"
"1406540","1409240"," Ahlus Sunnah wal Jama'ah takes the opposite approach.","Daniel Haqiqatjou"
"1409240","1413300"," Sunnis don't splinter into a self-righteous sect at war with the Ummah.","Daniel Haqiqatjou"
"1413820","1419840"," We give weight to the scholars, followed by the vast majority of Muslims, even when we believe they're mistaken.","Daniel Haqiqatjou"
"1420300","1424480"," We respond with restraint, minimizing insults, takfir, and violence.","Daniel Haqiqatjou"
"1424920","1431540"," That's why Ahlus Sunnah refuses to wage war on the Muslim majority, unlike the Khawarij and unlike the Wahhabis.","Daniel Haqiqatjou"
"1432380","1441200"," Sunnism shows deep deference to the jumhur, meaning the majority of scholars, especially where consensus, ijma'ah, exists.","Daniel Haqiqatjou"
"1441620","1449000"," The great deference is given to the consensus of the salaf, but serious weight is also given to the consensus of the khalaf.","Daniel Haqiqatjou"
"1449480","1462900"," That's why Sunnis respect scholars approved by the vast majority or consensus opinions of the khalaf, like Abu Hanifa, al-Ghazali, al-Nawawi, Ibn Hajar al-Asqalani, al-Suyuti, and Ibn Hajar al-Haytami.","Daniel Haqiqatjou"
"1463380","1469320"," It's why we respect the four legal schools and the three theological schools, Athari, Ash'ari, and Maturidi.","Daniel Haqiqatjou"
"1469740","1476440"," All these schools have been approved by the khalaf, even if they did not all have approval from the salaf.","Daniel Haqiqatjou"
"1477280","1479380"," Yes, scholars can err.","Daniel Haqiqatjou"
"1479380","1485680"," When a view appears to conflict with the Quran, hadith, or the salaf, we don't rush to condemnation.","Daniel Haqiqatjou"
"1486020","1486960"," We give husn al-dhan.","Daniel Haqiqatjou"
"1487380","1491480"," We examine the strongest arguments in its favor and scrutinize ourselves first.","Daniel Haqiqatjou"
"1491820","1499960"," And if the view still proves clearly wrong and we reject it, respectfully, without anathemizing the scholar, the school, or their followers.","Daniel Haqiqatjou"
"1500520","1503840"," That's precisely what we don't see from Wahhabism.","Daniel Haqiqatjou"
"1503940","1511600"," We don't follow Ibn Abdul Wahhab in dismissing the doctrines of the four schools on shirk and istighafa or in branding their followers mushrik kafirs deserving death.","Daniel Haqiqatjou"
"1511820","1520400"," We don't follow Jake in his circle in insulting or takfiring Abu Hanifa al-Ghazali al-Suyuti or in denouncing Ash'aris and Maturidis as deviants and disbelievers.","Daniel Haqiqatjou"
"1520820","1523140"," And this isn't just about abstract theology.","Daniel Haqiqatjou"
"1523420","1530180"," It's about the politics of Muslim unity, brotherhood, cohesion, and the jama'a, values Islam explicitly commands.","Daniel Haqiqatjou"
"1530740","1543220"," Wahhabis like Jake sneer at this as ikhwanism because they function as tools of secular Arab regimes sowing fitna in the name of aqidah to crush any movement that promotes Muslim cooperation.","Daniel Haqiqatjou"
"1543820","1547680"," Because we care about the jama'a, we don't fracture into warring sects.","Daniel Haqiqatjou"
"1548140","1554040"," When the broader community errs, we correct it by engaging and respecting the scholars it already follows.","Daniel Haqiqatjou"
"1554580","1556720"," Wahhabis, however, can't grasp this.","Daniel Haqiqatjou"
"1556720","1563560"," They claim respect belongs only to the Quran, hadith, and the salaf, and so they relentlessly attack the khalaf.","Daniel Haqiqatjou"
"1563940","1566100"," That's why they denigrate figures from the khalaf.","Daniel Haqiqatjou"
"1566440","1570560"," Abu Hassan al-Ash'ari, Abu Mansur al-Maturidi, al-Ghazali, al-Nawawi, al-Suyuti.","Daniel Haqiqatjou"
"1570840","1576420"," They ignore that these scholars earned authority through the jumhur and ijma'a of the khalaf.","Daniel Haqiqatjou"
"1576840","1590920"," When wahhabis feel forced to praise them, they resort to ridiculous lies like claiming that, Oh, these scholars secretly held wahhabi views on istighatha, or Allah's attributes, or they converted to wahhabism on their deathbeds.","Daniel Haqiqatjou"
"1591440","1597260"," The second wahhabi error, selectively reading Islamic history to emphasize incidents of conflict.","Daniel Haqiqatjou"
"1597560","1601740"," From the very beginning of Islam, Muslim history has oscillated between two states.","Daniel Haqiqatjou"
"1602160","1607100"," On one side, periods of fitna marked by hostility, factionalism, and escalating takfir.","Daniel Haqiqatjou"
"1607560","1610440"," On the other, periods of tolerance and coexistence.","Daniel Haqiqatjou"
"1610440","1615940"," Wahhabis just justify their own takfirism by citing these periods of fitna.","Daniel Haqiqatjou"
"1616680","1619580"," During the era of the salaf, there were major fitnas.","Daniel Haqiqatjou"
"1619740","1624320"," The first and second civil wars where sahaba and the tabi'een fought and killed one another.","Daniel Haqiqatjou"
"1624520","1631380"," And later, the mihna when the abbasid state, the mu'tazila, and the ahl al-hadith were locked in theological warfare.","Daniel Haqiqatjou"
"1631960","1636040"," During the mihna, takfir intensified on all sides.","Daniel Haqiqatjou"
"1636040","1642580"," Ahl al-hadith figures persecuted anyone suspected of being a jahmi or mu'tazila.","Daniel Haqiqatjou"
"1642900","1652120"," Major scholars like Imam Bukhari and Muslim were attacked as lofti's, and al-tabari, and abu al-hassan al-ashari were accused and harassed relentlessly.","Daniel Haqiqatjou"
"1652820","1656820"," Abu Hanifa and his followers were denounced as heretics.","Daniel Haqiqatjou"
"1658020","1661160"," But that fitna, that period of fitna, is not the whole story.","Daniel Haqiqatjou"
"1661160","1668520"," After the second fitna, ahl al-hadith preached reconciliation, urging muslims to withhold judgment over past conflicts.","Daniel Haqiqatjou"
"1668820","1676720"," They also gradually recognized figures that they had previously denounced, like Abu Hanifa, Tabari, Bukhari, and Muslim as central pillars of sunnism.","Daniel Haqiqatjou"
"1677140","1683860"," By the 11th century, sunni schools were increasingly tolerant of one another, influenced by figures like al-ghazali and Ibn Taymiyyah.","Daniel Haqiqatjou"
"1684340","1694720"," That trajectory continued until the 18th century, when al-safarini explicitly affirmed athari, ashari, and ma'turidi creeds as falling within ahl al-sunnah wal-jama'ah.","Daniel Haqiqatjou"
"1694860","1703420"," Yet that same century also saw a new fitna, the rise of wahhabism, marked by mass takfir and jihad against non-wahhabi muslims, especially the ottomans.","Daniel Haqiqatjou"
"1704000","1707080"," Wahhabis selectively mine all this history.","Daniel Haqiqatjou"
"1707260","1718040"," They find takfiri statements from scholars in the times of fitna, and falsely claim that they represent the true position of the salaf, while ignoring the historical periods of reconciliation and tolerance.","Daniel Haqiqatjou"
"1718560","1731600"," This is as stupid as saying that the true salafi position would be that we should insult and want to kill the various sahaba, because the sahaba themselves insulted and killed one another during the first fitna after the death of the prophet ﷺ.","Daniel Haqiqatjou"
"1732140","1737540"," When confronted with that implication, wahhabis suddenly tell us not to dwell on fitna.","Daniel Haqiqatjou"
"1737540","1743260"," But then they turn around and demand that we stay stuck in the world of their preferred fitna.","Daniel Haqiqatjou"
"1748600","1752640"," Islam distinguishes between primary and secondary matters of aqidah.","Daniel Haqiqatjou"
"1753080","1757540"," Every muslim must know the primary essentials of aqidah, namely the six pillars of iman.","Daniel Haqiqatjou"
"1758000","1762140"," But there are also secondary aqidah issues that aren't required for salvation.","Daniel Haqiqatjou"
"1762660","1768500"," They aren't stated clearly in the Quran or in mutawatir hadith, and the sahaba gave them little to no attention.","Daniel Haqiqatjou"
"1769200","1774700"," Most disputes over Allah's attributes, i.e. the sifat, fall into this secondary category.","Daniel Haqiqatjou"
